text,label,notes
"of that kind of love which I suppose him to have felt. Poor
Jane! I am sorry for her, because, with her disposition, she may not get
over it immediately.",,
"Pray don’t do
it.”

“I can’t help my looks,” says Mrs. Snagsby, “and if I could I
wouldn’t.”

Mr. Snagsby, with his cough of meekness, rejoins, “Wouldn’t you
really, my dear?” and meditates.",,
"“Why, do you think?” inquired Fagin, parrying the question. “Indeed I don’t know, sir,” replied Oliver. “Bah!” said the Jew, turning away with a disappointed countenance from
a close perusal of the boy’s face.",,
"And I do assure you, she’s the
dearest girl!--’

Mr. Micawber took an early opportunity, after that, of hinting, with the
utmost delicacy and ceremony, at the state of my affections. Nothing
but the serious assurance of his friend Copperfield to the contrary,
he observed, could deprive him of the impression that his friend
Copperfield loved and was beloved.",,
"The Old Soldier was in permanent
quarters under the Doctor’s roof. She was exactly the same as ever, and
the same immortal butterflies hovered over her cap. Like some other mothers, whom I have known in the course of my life,
Mrs.",,
"Whatever he said, was said well; and whatever he did, done
gracefully. Elizabeth went away with her head full of him. She could
think of nothing but of Mr.",,
"Sikes, reflectively, “if I’d only got that
young boy of Ned, the chimbley-sweeper’s! He kept him small on purpose,
and let him out by the job. But the father gets lagged; and then the
Juvenile Delinquent Society comes, and takes the boy away from a trade
where he was earning money, teaches him to read and write, and in time
makes a ’prentice of him.",,
"“All,” replied the woman. Mr. Bumble drew a long breath, as if he were glad to find that the
story was over, and no mention made of taking the five-and-twenty
pounds back again; and now he took courage to wipe the perspiration
which had been trickling over his nose, unchecked, during the whole of
the previous dialogue.",,
"When all our tradesmen send into our
house any stuff they like, and the servants do what they like with
it, and I have no time to improve things if I knew how, and Ma don’t
care about anything, I should like to make out how Pa is to weather
the storm. I declare if I was Pa, I’d run away.”

“My dear!” said I, smiling. “Your papa, no doubt, considers his
family.”

“Oh, yes, his family is all very fine, Miss Summerson,” replied Miss
Jellyby; “but what comfort is his family to him?",,
"Mrs. Collins welcomed her friend with the
liveliest pleasure, and Elizabeth was more and more satisfied with
coming, when she found herself so affectionately received. She saw
instantly that her cousin’s manners were not altered by his marriage:
his formal civility was just what it had been; and he detained her some
minutes at the gate to hear and satisfy his inquiries after all her
family.",,
"He
remained on the step, half in the coach and half out of; they remained
in the road below him. They all looked from the coachman to the guard,
and from the guard to the coachman, and listened. The coachman looked
back and the guard looked back, and even the emphatic leader pricked up
his ears and looked back, without contradicting.",,
"You are well
acquainted with my failure and how heavily I bore the disappointment. But just at that time I inherited the fortune of my cousin, and my
thoughts were turned into the channel of their earlier bent. Six years have passed since I resolved on my present undertaking.",,
"CHAPTER XLII. AN OLD ACQUAINTANCE OF OLIVER’S, EXHIBITING DECIDED MARKS OF GENIUS,
BECOMES A PUBLIC CHARACTER IN THE METROPOLIS


Upon the night when Nancy, having lulled Mr. Sikes to sleep, hurried on
her self-imposed mission to Rose Maylie, there advanced towards London,
by the Great North Road, two persons, upon whom it is expedient that
this history should bestow some attention.",,
"‘So, Mr. Wickfield,’ said I, at last, ‘who is worth five hundred of
you--or me’; for my life, I think, I could not have helped dividing that
part of the sentence with an awkward jerk; ‘has been imprudent, has he,
Mr. Heep?’

‘Oh, very imprudent indeed, Master Copperfield,’ returned Uriah, sighing
modestly.",,
"Squod tacks out, all on one side, to execute the word of command;
and the trooper, having smoked his pipe, lays it by. Jo is brought
in. He is not one of Mrs.",,
"I thought
her, then, still more colourless and thin than when I had seen her last;
the flashing eyes still brighter, and the scar still plainer. Our meeting was not cordial. We had parted angrily on the last occasion;
and there was an air of disdain about her, which she took no pains to
conceal.",,
"Barkis. ‘Sweet hearts; no person walks with her!’

‘With Peggotty?’

‘Ah!’ he said. ‘Her.’

‘Oh, no.",,
"But of the loved,
revered, and honoured head, thou canst not turn one hair
to thy dread purposes, or make one feature odious. It is
not that the hand is heavy and will fall down when released;
it is not that the heart and pulse are still; but that the
hand WAS open, generous, and true; the heart brave, warm,
and tender; and the pulse a man's. Strike, Shadow, strike!",,
"Turveydrop. “Your qualities are not
shining, my dear child, but they are steady and useful. And to both
of you, my children, I would merely observe, in the spirit of a
sainted wooman on whose path I had the happiness of casting, I
believe, SOME ray of light, take care of the establishment, take care
of my simple wants, and bless you both!”

Old Mr.",,
"All that
he has of certainty will be expended when he is fully equipped. He
has exhausted his resources and is bound henceforward to the tree he
has planted.”

“Quite true that I have exhausted my present resources, and I am
quite content to know it. But what I have of certainty, sir,” said
Richard, “is not all I have.”

“Rick, Rick!” cried my guardian with a sudden terror in his manner,
and in an altered voice, and putting up his hands as if he would have
stopped his ears.",,
"how
would she have behaved?” were the questions with which she amused
herself. Their first subject was the diminution of the Rosings’ party. “I assure
you, I feel it exceedingly,” said Lady Catherine; “I believe nobody
feels the loss of friends so much as I do.",,
"If I shrunk into
myself, hiding the disrespect I had undergone, it was because I honoured
you so much, and so much wished that you should honour me!’

‘Annie, my pure heart!’ said the Doctor, ‘my dear girl!’

‘A little more! a very few words more! I used to think there were so
many whom you might have married, who would not have brought such charge
and trouble on you, and who would have made your home a worthier home.",,
"“Don’t look quite healthy though.”

Is not quite healthy, Mercury informs him. Suffers much from
headaches. Really?",,
"I do wonder what
_can_ have happened to me! When I used to read fairy-tales, I fancied
that kind of thing never happened, and now here I am in the middle of
one! There ought to be a book written about me, that there ought!",,
"He spoke long and earnestly, but what it was all
about Smee, who was rather stupid, did not know in the least. Anon he caught the word Peter. “Most of all,” Hook was saying passionately, “I want their captain,
Peter Pan.",,
"Dick
listening, enchained by interest, with his poor wits calmly wandering
God knows where, upon the wings of hard words--I think of it as one of
the pleasantest things, in a quiet way, that I have ever seen. I feel
as if they might go walking to and fro for ever, and the world might
somehow be the better for it--as if a thousand things it makes a noise
about, were not one half so good for it, or me. Agnes was one of Mr.",,
"‘Nothing, Trot,’ she replied. ‘Sit down, sit down. Little Blossom has
been rather out of spirits, and I have been keeping her company.",,
"Mills’s street. Mr. Mills, who was a terrible fellow to fall
asleep after dinner, had not yet gone out, and there was no bird-cage in
the middle window.",,
"Matter of life or death. You know Lady
Dedlock?”

“Yes.”

“There has been a discovery there to-day. Family affairs have come
out.",,
"“Bless his sweet face!” said the old lady, looking after him. “I can’t
bear, somehow, to let him go out of my sight.”

At this moment, Oliver looked gaily round, and nodded before he turned
the corner. The old lady smilingly returned his salutation, and,
closing the door, went back to her own room.",,
"My father’s health was deeply
shaken by the horror of the recent events. Elizabeth was sad and
desponding; she no longer took delight in her ordinary occupations; all
pleasure seemed to her sacrilege toward the dead; eternal woe and tears she
then thought was the just tribute she should pay to innocence so blasted
and destroyed. She was no longer that happy creature who in earlier youth
wandered with me on the banks of the lake and talked with ecstasy of our
future prospects.",,
"The
business was therefore soon settled. He resigned all claim to assistance
in the church, were it possible that he could ever be in a situation to
receive it, and accepted in return three thousand pounds. All connection
between us seemed now dissolved.",,
"A bell was rung as we drew up, and amidst the
sound of its deep voice in the still air, and the distant barking of
some dogs, and a gush of light from the opened door, and the smoking
and steaming of the heated horses, and the quickened beating of our
own hearts, we alighted in no inconsiderable confusion. “Ada, my love, Esther, my dear, you are welcome. I rejoice to see
you!",,
"The
labours I endured were no longer to be alleviated by the bright sun or
gentle breezes of spring; all joy was but a mockery which insulted my
desolate state and made me feel more painfully that I was not made for
the enjoyment of pleasure. “But my toils now drew near a close, and in two months from this time I
reached the environs of Geneva. “It was evening when I arrived, and I retired to a hiding-place among
the fields that surround it to meditate in what manner I should apply
to you.",,
"But
all pressing out of the room, in a crowd, to see what was the matter, we
found her lying on the hall floor. There was great alarm at first, until
it was found that she was in a swoon, and that the swoon was yielding
to the usual means of recovery; when the Doctor, who had lifted her
head upon his knee, put her curls aside with his hand, and said, looking
around:

‘Poor Annie! She’s so faithful and tender-hearted!",,
"As she looks at him so steadily and
coldly, he not only feels conscious that he has no guide in the least
perception of what is really the complexion of her thoughts, but also
that he is being every moment, as it were, removed further and
further from her. She will not speak, it is plain. So he must.",,
"I was unwilling to mention
her to you then, and I am now; but she is the person of whom I speak,
and with whom I think we should communicate. Do you understand?’

‘Too well, sir,’ he replied. We had sunk our voices, almost to a
whisper, and continued to speak in that tone.",,
"Jarndyce, shaking his head. “I
have said nothing to Ada, Esther. She has her friend and counsellor
always near.” And he laid his hand lovingly upon my head.",,
"“Did you see any of these pretty things, my dear?” said the Jew, laying
his hand upon it after a short pause. “Yes, sir,” replied Oliver. “Ah!” said the Jew, turning rather pale.",,
